"county"	"party"	"votes"	"p"
"georgia,dodge"	"Republican"	5543	4.28281057083259e-05
"georgia,dooly"	"Republican"	1991	1.53835032410747e-05
"georgia,dougherty"	"Republican"	12547	9.69446585463404e-05
"georgia,douglas"	"Republican"	26812	0.000207163480110343
"georgia,early"	"Republican"	2711	2.09465983357877e-05
"georgia,echols"	"Republican"	981	7.57971706654658e-06
"georgia,effingham"	"Republican"	15230	0.000117674914295112
"georgia,elbert"	"Republican"	4868	3.76127040570324e-05
"georgia,emanuel"	"Republican"	5110	3.94825221305331e-05
"georgia,evans"	"Republican"	2462	1.90226946155328e-05
"georgia,fannin"	"Republican"	7807	6.03209491728126e-05
"georgia,fayette"	"Republican"	38501	0.000297478783668817
"georgia,floyd"	"Republican"	23132	0.000178729882959588
"georgia,forsyth"	"Republican"	59166	0.000457147339408048
"georgia,franklin"	"Republican"	6069	4.68922557358524e-05
"georgia,fulton"	"Republican"	130136	0.00100549853228553
"georgia,gilmer"	"Republican"	8408	6.4964588272705e-05
"georgia,glascock"	"Republican"	1202	9.2872781997849e-06
"georgia,glynn"	"Republican"	20479	0.000158231422839763
"georgia,gordon"	"Republican"	13113	0.000101317869412462
"georgia,grady"	"Republican"	5775	4.46206585721779e-05
"georgia,greene"	"Republican"	4532	3.50165930128329e-05
"georgia,gwinnett"	"Republican"	158746	0.00122655429709073
"georgia,habersham"	"Republican"	11766	9.09102456727697e-05
"georgia,hall"	"Republican"	44962	0.000347399835622902
"georgia,hancock"	"Republican"	795	6.14258416707903e-06
"georgia,haralson"	"Republican"	8658	6.68962185139248e-05
"georgia,harris"	"Republican"	10648	8.22719952340346e-05
"georgia,hart"	"Republican"	6537	5.05082675474159e-05
"georgia,heard"	"Republican"	3133	2.42071901829668e-05
"georgia,henry"	"Republican"	47157	0.000364359549140812
"georgia,houston"	"Republican"	33392	0.000258003988059249
"georgia,irwin"	"Republican"	2605	2.01275871135105e-05
"georgia,jackson"	"Republican"	17776	0.000137346636671694
"georgia,jasper"	"Republican"	3916	3.02570560984673e-05
"georgia,jeff davis"	"Republican"	3867	2.98784565711882e-05
"georgia,jefferson"	"Republican"	3061	2.36508806734955e-05
"georgia,jenkins"	"Republican"	1936	1.49585445880063e-05
"georgia,johnson"	"Republican"	2426	1.87445398607971e-05
"georgia,jones"	"Republican"	7782	6.01277861486906e-05
